geld,total_ploughs
1.5,4.0
2.0,3.0
2.08,5.0
4.0,10.0
1.0,0.0
2.0,5.0
1.0,4.0
2.0,7.0
5.25,8.0
0.75,1.5
0.62,1.5
2.0,4.0
3.0,4.0
4.0,10.0
1.0,3.0
2.0,2.0
3.31,1.0
0.66,6.0
2.5,3.0
2.0,3.0
1.0,None
1.0,2.0
16.25,13.5
3.0,6.0
0.37,0.0
1.5,7.0
3.31,1.0
16.25,13.5
2.0,4.0
3.31,1.0
1.0,0.0
4.0,5.0
2.0,7.0
4.0,6.0
3.0,6.0
1.5,5.0
2.0,5.0
16.25,13.5
1.5,3.0
3.0,6.0
1.0,1.0
6.0,19.0
1.0,3.0
0.37,0.0
1.93,5.0
16.25,13.5
4.0,6.0
2.0,3.0
1.0,1.0
0.66,6.0
16.25,13.5
1.93,3.0
16.25,13.5
2.0,10.0
0.62,1.5
1.5,4.0
1.5,3.5
2.0,2.0
1.5,3.0
2.0,3.0
1.0,0.0
23.0,9.0
10.0,6.0
18.0,18.0
4.0,5.0
23.0,9.0
0.75,1.0
23.0,9.0
1.0,0.0
23.0,9.0
2.0,4.0
23.0,9.0
3.25,4.0
18.0,18.0
23.0,9.0
2.0,5.0
6.0,0.0
1.25,2.0
6.0,0.0
6.0,0.0
18.0,18.0
3.25,4.0
3.25,4.0
10.0,6.0
2.0,6.0
2.0,5.0
3.25,4.0
23.0,9.0
1.0,3.0
2.0,0.0
23.0,9.0
6.0,0.0
0.5,0.0
2.0,3.0
23.0,9.0
4.0,5.0
6.0,0.0
3.5,1.5
6.0,0.0
18.0,18.0
10.0,6.0
6.0,0.0
1.25,2.0
3.0,0.0
3.5,1.5
6.0,0.0
6.0,0.0
2.0,0.0
18.0,18.0
10.0,6.0
4.0,0.0
18.0,18.0
4.0,5.0
10.0,6.0
4.0,5.0
6.0,0.0
18.0,18.0
6.0,0.0
2.0,0.0
23.0,9.0
23.0,9.0
18.0,18.0
10.0,6.0
23.0,9.0
1.0,3.0
10.0,6.0
0.5,2.0
1.0,0.0
4.0,5.0
23.0,9.0
6.0,0.0
10.0,6.0
1.0,0.0
6.0,0.0
4.0,0.0
1.5,4.0
3.0,2.0
3.0,0.0
1.0,0.0
1.0,0.0
2.0,0.0
2.0,0.0
7.0,2.0
6.0,6.0
2.0,1.0
0.75,0.0
2.0,0.0
1.0,0.0
0.5,0.0
0.5,0.0
2.0,2.5
1.0,0.62
4.0,3.0
17.0,8.0
3.0,0.0
4.0,2.0
9.0,6.0
4.0,6.0
4.0,9.0
17.0,8.0
21.0,18.5
21.0,18.5
4.0,3.0
0.5,1.0
21.0,18.5
2.0,5.0
17.0,8.0
4.0,3.0
2.0,0.0
17.0,8.0
21.0,18.5
9.0,6.0
0.62,0.0
21.0,18.5
4.0,0.0
0.5,1.0
2.0,0.0
17.0,8.0
9.0,6.0
9.0,6.0
21.0,18.5
4.0,0.0
17.0,8.0
4.0,3.0
2.0,0.0
6.0,2.0
9.0,6.0
2.0,0.0
9.0,6.0
0.5,1.0
17.0,8.0
4.0,7.0
6.0,2.0
21.0,18.5
9.0,6.0
0.25,1.0
1.5,4.0
21.0,18.5
0.5,1.0
4.0,0.0
10.0,18.0
10.0,18.0
1.0,3.0
0.81,2.0
1.0,0.0
13.81,6.0
0.43,0.5
1.5,0.5
16.25,13.5
2.0,7.0
1.0,2.0
2.0,7.0
13.81,6.0
0.5,0.0
13.81,6.0
0.87,1.0
16.25,13.5
2.0,4.0
4.0,2.0
10.0,18.0
5.0,11.0
1.0,0.25
16.25,13.5
1.0,3.0
2.0,3.0
4.0,3.0
2.0,2.0
16.25,13.5
4.0,0.0
0.5,0.0
4.0,2.0
16.25,13.5
4.0,6.0
2.0,3.0
13.81,6.0
1.0,1.0
13.81,6.0
0.37,1.0
0.87,1.0
16.25,13.5
15.12,None
3.0,6.0
0.81,2.0
2.0,2.0
4.0,3.0
1.0,0.0
13.81,6.0
1.0,2.0
1.0,0.0
10.0,18.0
4.0,3.0
1.0,0.0
1.0,1.0
1.16,0.0
10.31,15.0
1.0,3.0
3.0,4.0
7.16,11.0
5.0,11.0
0.37,1.62
2.12,0.0
8.75,15.0
3.0,2.0
0.59,0.5
4.58,6.0
7.0,8.5
0.5,4.0
2.0,3.0
15.12,None
None,None
None,None
None,None
1.0,None
None,None
None,None
None,None
0.12,None
0.12,None
12.0,16.0
7.16,11.0
1.0,3.0
7.0,8.5
7.16,11.0
0.83,0.0
7.16,11.0
12.0,16.0
3.0,8.0
8.75,15.0
0.37,0.0
0.37,0.62
1.16,0.0
7.0,8.5
15.12,None
8.75,15.0
12.0,13.0
7.16,11.0
9.5,7.0
7.16,11.0
0.66,1.0
0.66,None
4.0,3.0
2.0,6.0
2.0,6.0
1.33,2.0
0.66,None
4.0,7.0
1.0,0.0
0.25,None
12.0,16.0
2.0,5.0
0.5,4.0
1.16,0.0
7.0,8.5
5.0,7.0
2.0,1.0
8.75,15.0
1.0,0.0
8.0,13.0
3.0,10.0
1.0,1.0
2.0,8.0
4.25,4.0
0.75,2.0
2.0,4.5
0.59,2.0
2.0,4.0
6.25,11.0
0.31,1.0
0.68,1.0
0.5,0.0
0.81,4.0
1.0,1.0
3.0,6.0
6.12,4.0
1.25,2.0
6.12,4.0
1.0,4.5
6.12,4.0
6.25,11.0
0.75,1.5
0.68,3.0
0.25,0.0
0.25,0.0
1.0,2.0
4.25,5.0
6.12,4.0
4.0,6.0
1.0,4.5
1.0,10.0
0.5,4.0
1.0,2.0
0.66,1.0
0.5,0.0
0.87,4.5
0.12,0.0
1.0,1.0
1.31,3.0
1.0,3.0
0.06,0.0
0.93,1.0
2.0,3.0
1.0,4.5
1.5,7.5
2.0,5.0
2.35,11.5
6.12,4.0
3.0,6.0
2.35,11.5
0.25,0.0
1.62,1.0
1.5,7.5
0.25,0.0
0.47,1.5
1.31,3.0
0.9,2.0
0.25,0.0
2.35,11.5
0.25,0.0
6.12,4.0
2.35,11.5
0.5,0.0
6.25,6.0
1.0,1.0
1.25,2.0
6.25,6.0
2.5,2.0
2.0,2.0
2.0,4.0
1.5,6.0
4.0,7.0
0.37,8.0
1.0,4.5
0.31,2.0
4.0,2.0
6.12,4.0
0.15,1.0
0.2,0.25
0.9,5.0
3.0,2.5
0.5,0.0
1.5,6.0
6.25,6.0
2.5,2.0
0.5,0.0
0.33,0.0
0.9,5.0
1.0,1.0
0.47,1.5
1.31,3.0
0.9,2.0
2.0,0.0
1.5,7.5
0.43,2.0
6.25,11.0
2.35,11.5
2.0,4.0
1.0,11.0
4.0,6.0
5.0,3.0
4.0,7.0
7.0,6.5
2.0,2.0
3.0,7.0
2.0,3.0
4.0,7.0
2.0,2.0
4.0,0.0
2.0,0.0
4.0,7.0
0.37,1.0
1.16,2.0
0.37,0.5
0.08,None
5.0,4.0
13.81,6.0
6.0,15.0
7.0,6.5
6.0,15.0
6.0,14.0
2.0,2.0
0.5,1.0
1.5,4.5
1.0,2.0
1.0,3.0
2.33,1.0
0.66,2.0
1.0,2.0
6.0,14.0
