Manor ID,Monetary Value in 1086,Total Ploughs
13038,2.0,4.0
13040,1.5,3.0
13031,2.0,5.0
13037,4.0,10.0
13039,0.55,0.0
13058,1.5,5.0
13047,1.0,4.0
13043,2.0,7.0
12985,4.0,8.0
13055,1.0,1.5
13063,1.0,1.5
13034,,4.0
13157,0.5,4.0
13028,5.0,10.0
13053,1.5,3.0
13062,1.0,2.0
13129,1.75,1.0
13059,1.0,6.0
13029,2.0,3.0
13057,2.0,3.0
13051,,
13052,1.0,2.0
12987,10.0,13.5
13049,3.0,6.0
13044,,0.0
13045,2.0,7.0
13129,1.75,1.0
12987,10.0,13.5
13050,2.0,4.0
13129,1.75,1.0
12978,0.0,0.0
13054,3.0,5.0
13027,5.0,7.0
13056,2.0,6.0
13060,3.0,6.0
13066,2.0,5.0
13061,2.0,5.0
12987,10.0,13.5
13065,1.0,3.0
13060,3.0,6.0
13032,1.0,1.0
13030,10.0,19.0
13053,1.5,3.0
13044,,0.0
13046,2.0,5.0
12987,10.0,13.5
13056,2.0,6.0
13035,3.0,3.0
13036,0.66,1.0
13059,1.0,6.0
12987,10.0,13.5
13033,1.0,3.0
12987,10.0,13.5
13042,3.0,10.0
13063,1.0,1.5
13067,2.0,4.0
13041,1.5,3.5
13062,1.0,2.0
13064,2.0,3.0
13048,1.0,3.0
13116,0.0,0.0
12971,,9.0
12972,10.3,6.0
12970,,18.0
13150,1.5,5.0
12971,,9.0
12974,,1.0
12971,,9.0
13077,0.0,0.0
12971,,9.0
13113,1.5,4.0
12971,,9.0
12954,4.0,4.0
12970,,18.0
12971,,9.0
13112,2.5,5.0
12973,0.0,0.0
12975,0.8,2.0
12973,0.0,0.0
12973,0.0,0.0
12970,,18.0
12954,4.0,4.0
12954,4.0,4.0
12972,10.3,6.0
13104,1.0,6.0
12976,1.0,5.0
12954,4.0,4.0
12971,,9.0
13081,0.5,3.0
13115,0.0,0.0
12971,,9.0
12973,0.0,0.0
13078,0.0,0.0
13151,0.6,3.0
12971,,9.0
13150,1.5,5.0
12973,0.0,0.0
13114,0.2,1.5
12973,0.0,0.0
12970,,18.0
12972,10.3,6.0
12973,0.0,0.0
12975,0.8,2.0
13075,0.0,0.0
13114,0.2,1.5
12973,0.0,0.0
12973,0.0,0.0
13080,0.0,0.0
12970,,18.0
12972,10.3,6.0
13082,0.0,0.0
12970,,18.0
13150,1.5,5.0
12972,10.3,6.0
13150,1.5,5.0
12973,0.0,0.0
12970,,18.0
12973,0.0,0.0
13074,0.0,0.0
12971,,9.0
12971,,9.0
12970,,18.0
12972,10.3,6.0
12971,,9.0
13076,0.5,3.0
12972,10.3,6.0
12977,0.3,2.0
13149,0.0,0.0
13150,1.5,5.0
12971,,9.0
12973,0.0,0.0
12972,10.3,6.0
13117,0.0,0.0
12973,0.0,0.0
13082,0.0,0.0
13079,0.8,4.0
12968,0.5,2.0
10831,0.1,0.0
13185,0.05,0.0
10837,0.0,0.0
13022,0.0,0.0
12967,0.0,0.0
10822,1.0,2.0
10823,3.0,6.0
